Fig 3A,,,
Group,Bin_name_1,Bin_name_2,average_r
O,Bin993,Bin934,0.62 
O,Bin993,Bin827,0.56 
O,Bin993,Bin753,0.65 
O,Bin993,Bin717,0.60 
O,Bin993,Bin626,0.63 
O,Bin993,Bin604,0.65 
O,Bin993,Bin506,0.56 
O,Bin993,Bin492,0.58 
O,Bin993,Bin471,0.85 
O,Bin993,Bin351,0.66 
O,Bin993,Bin160,0.63 
O,Bin993,Bin90,0.69 
O,Bin653,Bin639,0.62 
O,Bin653,Bin626,0.75 
O,Bin653,Bin624,0.73 
O,Bin653,Bin621,0.63 
O,Bin653,Bin558,0.68 
O,Bin653,Bin555,0.66 
O,Bin653,Bin492,0.68 
O,Bin653,Bin443,0.54 
O,Bin653,Bin360,0.68 
O,Bin653,Bin335,0.68 
O,Bin653,Bin328,0.60 
O,Bin653,Bin299,0.52 
O,Bin653,Bin259,0.63 
O,Bin653,Bin161,0.85 
O,Bin653,Bin100,0.56 
O,Bin653,Bin96,0.82 
O,Bin653,Bin90,0.69 
O,Bin653,Bin89,0.63 
O,Bin1070,Bin1005,0.68 
O,Bin1070,Bin999,0.77 
O,Bin1070,Bin993,0.65 
O,Bin1070,Bin799,0.68 
O,Bin1070,Bin763,0.57 
O,Bin1070,Bin753,0.61 
O,Bin1070,Bin706,0.60 
O,Bin1070,Bin682,0.60 
O,Bin1070,Bin614,0.71 
O,Bin1070,Bin606,0.68 
O,Bin1070,Bin585,0.69 
O,Bin1070,Bin571,0.63 
O,Bin1070,Bin476,0.73 
O,Bin1070,Bin450,0.59 
O,Bin1070,Bin443,0.59 
O,Bin1070,Bin441,0.64 
O,Bin1070,Bin343,0.70 
O,Bin1070,Bin271,0.69 
O,Bin1070,Bin230,0.66 
O,Bin1070,Bin181,0.74 
O,Bin1070,Bin168,0.66 
O,Bin1070,Bin160,0.72 
O,Bin1070,Bin88,0.65 
O,Bin202,Bin136,0.86 
O,Bin202,Bin88,0.62 
O,Bin96,Bin95,0.72 
O,Bin96,Bin90,0.64 
O,Bin96,Bin89,0.68 
O,Bin96,Bin86,0.67 
O,Bin854,Bin668,0.55 
O,Bin854,Bin85,0.74 
O,Bin636,Bin85,0.48 
O,Bin557,Bin365,0.64 
O,Bin557,Bin139,0.65 
O,Bin557,Bin84,0.63 
O,Bin170,Bin149,0.67 
O,Bin170,Bin127,0.59 
O,Bin170,Bin83,0.69 
O,Bin514,Bin488,0.73 
O,Bin514,Bin432,0.89 
O,Bin514,Bin414,0.89 
O,Bin514,Bin326,0.90 
O,Bin514,Bin320,0.78 
O,Bin514,Bin245,0.83 
O,Bin514,Bin156,0.88 
O,Bin514,Bin82,0.76 
O,Bin767,Bin766,0.68 
O,Bin767,Bin764,0.69 
O,Bin767,Bin752,0.69 
O,Bin767,Bin724,0.63 
