Fig 3B,,,
Group,Bin_name_1,Bin_name_2,average_r
T,Bin775,Bin751,-0.61 
T,Bin777,Bin751,-0.68 
T,Bin863,Bin751,-0.53 
T,Bin905,Bin751,-0.65 
T,Bin975,Bin751,-0.68 
T,Bin1015,Bin751,-0.51 
T,Bin775,Bin754,-0.59 
T,Bin850,Bin754,-0.58 
T,Bin958,Bin754,-0.54 
T,Bin846,Bin755,-0.52 
T,Bin871,Bin759,-0.61 
T,Bin775,Bin765,-0.60 
T,Bin811,Bin775,-0.64 
T,Bin814,Bin775,-0.61 
T,Bin822,Bin775,-0.63 
T,Bin855,Bin775,-0.69 
T,Bin856,Bin775,-0.53 
T,Bin886,Bin775,-0.57 
T,Bin909,Bin775,-0.63 
T,Bin941,Bin775,-0.57 
T,Bin946,Bin775,-0.64 
T,Bin1007,Bin775,-0.54 
T,Bin1051,Bin775,-0.63 
T,Bin936,Bin777,-0.65 
T,Bin958,Bin784,-0.56 
T,Bin995,Bin784,-0.64 
T,Bin850,Bin787,-0.61 
T,Bin1091,Bin787,-0.53 
T,Bin855,Bin790,-0.61 
T,Bin936,Bin790,-0.55 
T,Bin871,Bin800,-0.56 
T,Bin850,Bin811,-0.66 
T,Bin863,Bin814,-0.56 
T,Bin995,Bin814,-0.62 
T,Bin1083,Bin822,-0.60 
T,Bin1048,Bin827,-0.59 
T,Bin1020,Bin842,-0.54 
T,Bin907,Bin850,-0.64 
T,Bin947,Bin850,-0.62 
T,Bin924,Bin854,-0.46 
T,Bin901,Bin855,-0.61 
T,Bin905,Bin855,-0.61 
T,Bin958,Bin855,-0.68 
T,Bin975,Bin855,-0.66 
T,Bin907,Bin863,-0.59 
T,Bin940,Bin863,-0.59 
T,Bin946,Bin863,-0.59 
T,Bin951,Bin863,-0.64 
T,Bin953,Bin863,-0.54 
T,Bin960,Bin863,-0.55 
T,Bin1007,Bin863,-0.51 
T,Bin1026,Bin863,-0.59 
T,Bin1079,Bin863,-0.57 
T,Bin958,Bin873,-0.69 
T,Bin975,Bin873,-0.69 
T,Bin1051,Bin901,-0.57 
T,Bin936,Bin905,-0.65 
T,Bin975,Bin907,-0.65 
T,Bin1026,Bin923,-0.57 
T,Bin938,Bin924,-0.61 
T,Bin960,Bin924,-0.53 
T,Bin988,Bin924,-0.54 
T,Bin943,Bin936,-0.55 
T,Bin958,Bin936,-0.66 
T,Bin958,Bin946,-0.56 
T,Bin998,Bin958,-0.56 
T,Bin1051,Bin958,-0.59 
T,Bin975,Bin959,-0.59 
T,Bin1069,Bin975,-0.52 
T,Bin1007,Bin995,-0.58 
T,Bin1026,Bin995,-0.61 
T,Bin1051,Bin995,-0.60 
T,Bin1089,Bin995,-0.51 
T,Bin1051,Bin1015,-0.57 
T,Bin1091,Bin1051,-0.57 
T,Bin14,Bin1,0.61 
T,Bin23,Bin1,0.70 
T,Bin19,Bin2,0.56 
T,Bin37,Bin2,0.67 
T,Bin45,Bin2,0.68 
T,Bin54,Bin2,0.72 
